Bahrain Grand Prix;Bahrain International Circuit;Middle East
Saudi Arabian Grand Prix;Jeddah Corniche Circuit;Middle East
Australian Grand Prix;Albert Park Grand Prix Circuit;Oceania
Emilia Romagna Grand Prix;Autodromo Enzo e Dino Ferrari;Europe
Miami Grand Prix;Miami International Autodrome;North America
Spanish Grand Prix;Circuit de Barcelona-Catalunya;Europe
Monaco Grand Prix;Circuit de Monaco;Europe
Azerbaijan Grand Prix;Baku City Circuit;West Asia
Canadian Grand Prix;Circuit Gilles Villeneuve;North America
British Grand Prix;Silverstone Circuit;Europe
Austrian Grand Prix;Red Bull Ring;Europe
French Grand Prix;Circuit Paul Ricard;Europe
Hungarian Grand Prix;Hungaroring;Europe
Belgian Grand Prix;Circuit de Spa-Francorchamps;Europe
Dutch Grand Prix;Circuit Park Zandvoort;Europe
Italian Grand Prix;Autodromo Nazionale di Monza;Europe
Singapore Grand Prix;Marina Bay Street Circuit;East Asia
Japanese Grand Prix;Suzuka Circuit;East Asia
United States Grand Prix;Circuit of the Americas;North America
Mexico City Grand Prix;Autodromo Hermanos Rodriguez;North America
Brazilian Grand Prix;Autodromo Jose Carlos Pace;South America
Abu Dhabi Grand Prix;Yas Marina Circuit;Middle East
