1;Mercedes;straight;85
2;Mercedes;average;90
3;Mercedes;cornering;85
4;Red Bull;straight;90
5;Red Bull;average;90
6;Red Bull;cornering;95
7;Ferrari;straight;95
8;Ferrari;average;90
9;Ferrari;cornering;90
10;Racing Point;straight;65
11;Racing Point;average;70
12;Racing Point;cornering;75
13;Force India;straight;45
14;Force India;average;50
15;Force India;cornering;55
16;McLaren;straight;70
17;McLaren;average;80
18;McLaren;cornering;80
19;Alpine F1 Team;straight;80
20;Alpine F1 Team;average;80
21;Alpine F1 Team;cornering;70
22;AlphaTauri;straight;75
23;AlphaTauri;average;75
24;AlphaTauri;cornering;75
25;Renault;straight;55
26;Renault;average;50
27;Renault;cornering;45
28;Aston Martin;straight;70
29;Aston Martin;average;80
30;Aston Martin;cornering;80
31;Toro Rosso;straight;55
32;Toro Rosso;average;50
33;Toro Rosso;cornering;45
34;Haas F1 Team;straight;70
35;Haas F1 Team;average;60
36;Haas F1 Team;cornering;65
37;Alfa Romeo;straight;60
38;Alfa Romeo;average;65
39;Alfa Romeo;cornering;70
40;Sauber;straight;45
41;Sauber;average;45
42;Sauber;cornering;45
43;Williams;straight;65
44;Williams;average;70
45;Williams;cornering;60
